dt,is_long,R,R_cost,year,maturity
2024-10-18 07:10:00-07:00,True,-1.0,-1.0085800604229607,2024,2.3796902176976062
2024-10-20 18:25:00-07:00,True,-1.0,-1.0319101123595507,2024,2.642963219620871
2024-10-21 12:50:00-07:00,True,0.5,0.48464864864864865,2024,2.493133260851142
2024-10-23 23:05:00-07:00,True,1.5,1.4770967741935483,2024,2.645971395175603
2024-10-29 11:20:00-07:00,True,1.5,1.4734579439252335,2024,2.3378899600168763
2024-11-05 05:30:00-08:00,True,-1.0,-1.0234710743801654,2024,-0.2942101040136807
2024-11-06 17:35:00-08:00,True,1.5,1.483391812865497,2024,1.6381595717693702
2024-11-07 11:50:00-08:00,True,-1.0,-1.0104411764705883,2024,2.3424402771636372
2024-11-14 03:45:00-08:00,True,-1.0,-1.041764705882353,2024,2.7345013866852814
2024-11-18 10:10:00-08:00,True,-1.0,-1.0042261904761904,2024,0.4862249672082069
2024-11-26 11:05:00-08:00,True,-1.0,-1.0190604026845638,2024,1.2044615330457444
2024-11-26 17:15:00-08:00,True,0.5,0.4661904761904762,2024,1.2044615330457444
2024-12-03 11:10:00-08:00,True,1.5,1.4843956043956044,2024,2.4447481835716625
2024-12-03 12:50:00-08:00,True,1.5,1.4843956043956044,2024,2.4447481835716625
2024-12-04 05:35:00-08:00,True,0.5,0.4716,2024,2.8946200394745705
2024-12-06 00:35:00-08:00,True,-1.0,-1.048135593220339,2024,3.382211658057728
2024-12-06 09:55:00-08:00,True,0.5,0.479568345323741,2024,3.382211658057728
2024-12-06 12:10:00-08:00,True,1.5,1.4770967741935483,2024,3.382211658057728
2024-12-19 04:05:00-08:00,True,1.5,1.4842222222222223,2024,1.7213065237176555
2024-12-24 05:25:00-08:00,True,1.5,1.4626315789473685,2024,1.9179099551393075
2025-01-03 08:20:00-08:00,True,1.5,1.4941322314049588,2025,-0.25423551831450675
2025-01-06 05:25:00-08:00,True,0.5,0.49215469613259666,2025,0.7219515801883288
2025-01-17 07:35:00-08:00,True,0.5,0.48886274509803923,2025,-0.4327351198950698
2025-01-19 22:00:00-08:00,True,1.5,1.4605555555555556,2025,0.45050704404389336
2025-01-21 04:40:00-08:00,True,-1.0,-1.0115447154471544,2025,0.5236374014063694
2025-01-23 08:30:00-08:00,True,0.5,0.4913149847094801,2025,1.286468540715896
2025-01-23 12:50:00-08:00,True,1.5,1.4776377952755906,2025,1.286468540715896
2025-01-28 10:50:00-08:00,True,-1.0,-1.0302127659574467,2025,-0.6077809844460752
2025-01-30 17:30:00-08:00,True,1.5,1.489442379182156,2025,0.24777092165000766
2025-01-30 22:05:00-08:00,True,1.5,1.4432,2025,0.24777092165000766
2025-02-04 10:25:00-08:00,True,-1.0,-1.0083775811209439,2025,-0.42760300018708075
2025-02-05 08:30:00-08:00,True,1.5,1.494215885947047,2025,-0.1400712818343836
2025-02-06 01:05:00-08:00,True,-1.0,-1.0156906077348067,2025,0.5837197814322423
2025-02-10 05:15:00-08:00,True,0.5,0.47530434782608694,2025,0.3618885648580434
2025-02-13 23:00:00-08:00,True,1.5,1.4501754385964913,2025,0.9018403134175967
2025-02-21 04:05:00-08:00,True,1.5,1.456969696969697,2025,1.8308401865466948
2025-02-23 19:25:00-08:00,True,-1.0,-1.071,2025,0.1852546399415087
