timestamp_utc,open,high,low,close,volume
2019-12-12T16:52:00+00:00,11762.25,11766.0,11762.25,11765.0,0
2019-12-12T16:53:00+00:00,11764.25,11764.5,11762.75,11764.5,0
2019-12-12T16:54:00+00:00,11764.25,11764.25,11761.75,11763.25,0
2019-12-12T16:55:00+00:00,11762.25,11762.25,11756.0,11756.0,0
2019-12-12T16:56:00+00:00,11756.25,11756.25,11739.0,11749.25,0
2019-12-12T16:57:00+00:00,11750.0,11757.25,11749.0,11754.75,0
2019-12-12T16:58:00+00:00,11754.75,11756.0,11749.75,11750.25,0
2019-12-12T16:59:00+00:00,11752.25,11756.0,11749.5,11754.75,0
2019-12-12T17:00:00+00:00,11755.0,11755.5,11753.5,11754.25,0
2019-12-12T17:01:00+00:00,11753.75,11754.5,11751.25,11754.25,0
2019-12-12T17:02:00+00:00,11754.0,11754.0,11749.75,11751.0,0
2019-12-12T17:03:00+00:00,11750.25,11752.0,11748.75,11749.75,0
2019-12-12T17:04:00+00:00,11748.5,11749.25,11747.0,11747.75,0
2019-12-12T17:05:00+00:00,11748.75,11749.25,11744.25,11745.25,0
2019-12-12T17:06:00+00:00,11746.25,11747.5,11744.0,11747.25,0
2019-12-12T17:07:00+00:00,11746.75,11748.5,11746.75,11746.75,0
2019-12-12T17:08:00+00:00,11746.25,11753.0,11746.0,11751.25,0
2019-12-12T17:09:00+00:00,11751.75,11752.75,11751.0,11752.0,0
2019-12-12T17:10:00+00:00,11751.5,11754.0,11751.0,11753.5,0
2019-12-12T17:11:00+00:00,11753.75,11754.0,11747.5,11749.25,0
2019-12-12T17:12:00+00:00,11750.75,11751.0,11748.75,11750.25,0
2019-12-12T17:13:00+00:00,11750.0,11750.75,11745.0,11746.25,0
2019-12-12T17:14:00+00:00,11745.5,11747.75,11744.0,11746.75,0
2019-12-12T17:15:00+00:00,11746.25,11747.5,11744.5,11745.5,0
2019-12-12T17:16:00+00:00,11745.25,11749.5,11744.0,11748.75,0
2019-12-12T17:17:00+00:00,11748.25,11749.0,11744.0,11744.75,0
2019-12-12T17:18:00+00:00,11745.25,11747.0,11743.0,11744.0,0
2019-12-12T17:19:00+00:00,11744.5,11744.75,11735.5,11737.5,0
2019-12-12T17:20:00+00:00,11737.75,11741.75,11737.75,11740.25,0
2019-12-12T17:21:00+00:00,11740.25,11740.5,11737.25,11739.75,0
2019-12-12T17:22:00+00:00,11740.25,11740.25,11738.75,11739.25,0
2019-12-12T17:23:00+00:00,11738.75,11739.5,11733.5,11734.5,0
2019-12-12T17:24:00+00:00,11733.0,11733.25,11725.25,11725.5,0
2019-12-12T17:25:00+00:00,11724.75,11729.25,11724.75,11727.25,0
2019-12-12T17:26:00+00:00,11727.0,11730.5,11727.0,11729.0,0
2019-12-12T17:27:00+00:00,11728.25,11732.0,11727.75,11731.5,0
2019-12-12T17:28:00+00:00,11730.75,11733.0,11730.5,11732.5,0
2019-12-12T17:29:00+00:00,11732.5,11732.75,11728.75,11730.0,0
2019-12-12T17:30:00+00:00,11729.0,11734.5,11726.0,11734.5,0
2019-12-12T17:31:00+00:00,11734.5,11743.5,11733.0,11741.5,0
2019-12-12T17:32:00+00:00,11741.25,11743.25,11740.25,11743.25,0
