dt,is_long,mae,mfe,session,won_0.25,won_0.50,won_0.75,won_1.00,year
2024-09-02 19:05:00-07:00,False,0.5333333333333333,2.276190476190476,ASIA,True,True,True,True,2024
2024-09-06 11:05:00-07:00,False,1.0,1.1894736842105262,NY,True,True,True,True,2024
2024-09-18 17:55:00-07:00,True,0.589041095890411,2.0136986301369864,ASIA,True,True,True,True,2024
2024-09-30 16:15:00-07:00,True,0.5981308411214953,2.0654205607476634,ASIA,True,True,True,True,2024
2024-10-08 01:20:00-07:00,True,0.3872053872053872,2.387205387205387,LONDON,True,True,True,True,2024
2024-10-08 09:20:00-07:00,True,1.0,0.7727272727272727,NY,True,True,True,False,2024
2024-10-11 04:20:00-07:00,False,1.0,0.13,LONDON,False,False,False,False,2024
2024-10-21 12:50:00-07:00,True,1.0,1.2324324324324325,NY,True,True,True,True,2024
2024-10-23 23:05:00-07:00,True,0.6693548387096774,2.024193548387097,ASIA,True,True,True,True,2024
2024-11-06 17:35:00-08:00,True,0.15789473684210525,2.064327485380117,ASIA,True,True,True,True,2024
2024-11-07 11:50:00-08:00,True,1.0,0.6764705882352942,NY,True,True,False,False,2024
2024-11-20 10:20:00-08:00,False,1.0,0.6124031007751938,NY,True,True,False,False,2024
2024-11-26 17:15:00-08:00,True,1.0,1.3452380952380953,ASIA,True,True,True,True,2024
2024-12-03 12:50:00-08:00,True,0.0,2.0,NY,True,True,True,True,2024
2024-12-04 05:35:00-08:00,True,1.0,1.05,LONDON,True,True,True,True,2024
2024-12-06 00:35:00-08:00,True,1.0,0.8305084745762712,LONDON,True,True,True,False,2024
2024-12-06 12:10:00-08:00,True,0.45161290322580644,2.024193548387097,NY,True,True,True,True,2024
2024-12-09 10:00:00-08:00,False,1.0,0.4074074074074074,NY,True,False,False,False,2024
2024-12-12 07:10:00-08:00,False,1.0,0.5148514851485149,NY,True,True,False,False,2024
2024-12-30 01:10:00-08:00,False,0.7960526315789473,2.0592105263157894,LONDON,True,True,True,True,2024
2025-01-06 20:35:00-08:00,False,0.045454545454545456,2.090909090909091,ASIA,True,True,True,True,2025
2025-01-13 00:20:00-08:00,False,0.0,2.142857142857143,LONDON,True,True,True,True,2025
2025-01-16 11:25:00-08:00,False,1.0,1.3765281173594133,NY,True,True,True,True,2025
2025-01-28 10:50:00-08:00,True,1.0,0.2978723404255319,NY,True,False,False,False,2025
2025-01-29 08:40:00-08:00,False,1.0,1.1684782608695652,NY,True,True,True,True,2025
2025-01-30 17:30:00-08:00,True,0.048327137546468404,2.107806691449814,ASIA,True,True,True,True,2025
2025-01-30 22:05:00-08:00,True,0.28,2.02,ASIA,True,True,True,True,2025
2025-02-21 04:05:00-08:00,True,0.06060606060606061,2.287878787878788,LONDON,True,True,True,True,2025
2025-02-23 19:25:00-08:00,True,1.0,0.05,ASIA,False,False,False,False,2025
2025-02-26 03:05:00-08:00,True,1.0,0.16822429906542055,LONDON,False,False,False,False,2025
2025-02-28 03:25:00-08:00,True,1.0,0.28846153846153844,LONDON,True,False,False,False,2025
2025-03-09 21:10:00-07:00,True,1.0,0.4189189189189189,ASIA,True,False,False,False,2025
2025-03-10 03:10:00-07:00,False,0.21725239616613418,2.009584664536741,LONDON,True,True,True,True,2025
