sample,utc,new_york,pacific,open,high,low,close
S12,2020-04-24T14:29:00+00:00,2020-04-24T10:29:00-04:00,2020-04-24T07:29:00-07:00,11941.75,11950.5,11939.5,11949.0
S12,2020-04-24T14:30:00+00:00,2020-04-24T10:30:00-04:00,2020-04-24T07:30:00-07:00,11949.25,11949.5,11939.25,11942.75
S12,2020-04-24T14:31:00+00:00,2020-04-24T10:31:00-04:00,2020-04-24T07:31:00-07:00,11942.5,11945.75,11935.0,11945.5
S12,2020-04-24T14:32:00+00:00,2020-04-24T10:32:00-04:00,2020-04-24T07:32:00-07:00,11945.25,11952.5,11940.75,11951.25
S12,2020-04-24T14:33:00+00:00,2020-04-24T10:33:00-04:00,2020-04-24T07:33:00-07:00,11951.0,11961.25,11946.25,11953.75
S12,2020-04-24T14:34:00+00:00,2020-04-24T10:34:00-04:00,2020-04-24T07:34:00-07:00,11953.5,11956.0,11951.75,11953.5
S12,2020-04-24T14:35:00+00:00,2020-04-24T10:35:00-04:00,2020-04-24T07:35:00-07:00,11953.75,11960.75,11953.25,11959.75
S12,2020-04-24T14:36:00+00:00,2020-04-24T10:36:00-04:00,2020-04-24T07:36:00-07:00,11959.5,11969.5,11954.75,11968.0
S12,2020-04-24T14:37:00+00:00,2020-04-24T10:37:00-04:00,2020-04-24T07:37:00-07:00,11967.5,11971.0,11963.75,11968.75
S12,2020-04-24T14:38:00+00:00,2020-04-24T10:38:00-04:00,2020-04-24T07:38:00-07:00,11968.5,11970.5,11964.0,11970.5
S12,2020-04-24T14:39:00+00:00,2020-04-24T10:39:00-04:00,2020-04-24T07:39:00-07:00,11970.0,11976.0,11970.0,11972.75
S12,2020-04-24T14:40:00+00:00,2020-04-24T10:40:00-04:00,2020-04-24T07:40:00-07:00,11973.0,11973.25,11968.5,11969.75
S12,2020-04-24T14:41:00+00:00,2020-04-24T10:41:00-04:00,2020-04-24T07:41:00-07:00,11969.5,11976.5,11967.25,11967.5
S12,2020-04-24T14:42:00+00:00,2020-04-24T10:42:00-04:00,2020-04-24T07:42:00-07:00,11967.5,11969.5,11962.75,11967.25
S12,2020-04-24T14:43:00+00:00,2020-04-24T10:43:00-04:00,2020-04-24T07:43:00-07:00,11966.75,11971.0,11963.0,11965.25
S12,2020-04-24T14:44:00+00:00,2020-04-24T10:44:00-04:00,2020-04-24T07:44:00-07:00,11964.75,11967.5,11959.5,11962.0
S12,2020-04-24T14:45:00+00:00,2020-04-24T10:45:00-04:00,2020-04-24T07:45:00-07:00,11962.25,11969.25,11960.5,11968.25
S12,2020-04-24T14:46:00+00:00,2020-04-24T10:46:00-04:00,2020-04-24T07:46:00-07:00,11968.75,11974.25,11965.5,11972.5
S12,2020-04-24T14:47:00+00:00,2020-04-24T10:47:00-04:00,2020-04-24T07:47:00-07:00,11972.0,11972.25,11961.75,11965.0
S12,2020-04-24T14:48:00+00:00,2020-04-24T10:48:00-04:00,2020-04-24T07:48:00-07:00,11965.25,11968.25,11961.75,11964.75
S12,2020-04-24T14:49:00+00:00,2020-04-24T10:49:00-04:00,2020-04-24T07:49:00-07:00,11964.25,11969.5,11961.0,11961.75
S12,2020-04-24T14:50:00+00:00,2020-04-24T10:50:00-04:00,2020-04-24T07:50:00-07:00,11962.5,11963.0,11953.5,11961.5
S12,2020-04-24T14:51:00+00:00,2020-04-24T10:51:00-04:00,2020-04-24T07:51:00-07:00,11962.0,11966.75,11957.5,11963.0
S12,2020-04-24T14:52:00+00:00,2020-04-24T10:52:00-04:00,2020-04-24T07:52:00-07:00,11963.0,11963.5,11957.0,11957.5
S12,2020-04-24T14:53:00+00:00,2020-04-24T10:53:00-04:00,2020-04-24T07:53:00-07:00,11958.25,11962.0,11957.0,11958.75
S12,2020-04-24T14:54:00+00:00,2020-04-24T10:54:00-04:00,2020-04-24T07:54:00-07:00,11958.75,11962.5,11955.0,11958.5
S12,2020-04-24T14:55:00+00:00,2020-04-24T10:55:00-04:00,2020-04-24T07:55:00-07:00,11958.75,11962.0,11950.25,11952.5
S12,2020-04-24T14:56:00+00:00,2020-04-24T10:56:00-04:00,2020-04-24T07:56:00-07:00,11952.5,11955.75,11944.75,11946.75
S12,2020-04-24T14:57:00+00:00,2020-04-24T10:57:00-04:00,2020-04-24T07:57:00-07:00,11947.25,11948.25,11942.75,11947.25
S12,2020-04-24T14:58:00+00:00,2020-04-24T10:58:00-04:00,2020-04-24T07:58:00-07:00,11947.25,11948.0,11942.75,11944.75
S12,2020-04-24T14:59:00+00:00,2020-04-24T10:59:00-04:00,2020-04-24T07:59:00-07:00,11945.0,11945.0,11938.0,11939.5
S12,2020-04-24T15:00:00+00:00,2020-04-24T11:00:00-04:00,2020-04-24T08:00:00-07:00,11939.75,11945.5,11938.25,11945.25
S12,2020-04-24T15:01:00+00:00,2020-04-24T11:01:00-04:00,2020-04-24T08:01:00-07:00,11945.0,11945.75,11938.25,11945.75
S12,2020-04-24T15:02:00+00:00,2020-04-24T11:02:00-04:00,2020-04-24T08:02:00-07:00,11945.25,11948.75,11940.5,11945.25
S12,2020-04-24T15:03:00+00:00,2020-04-24T11:03:00-04:00,2020-04-24T08:03:00-07:00,11945.25,11945.25,11931.25,11933.25
S12,2020-04-24T15:04:00+00:00,2020-04-24T11:04:00-04:00,2020-04-24T08:04:00-07:00,11933.75,11933.75,11924.25,11927.5
S12,2020-04-24T15:05:00+00:00,2020-04-24T11:05:00-04:00,2020-04-24T08:05:00-07:00,11927.75,11932.5,11927.25,11930.25
S12,2020-04-24T15:06:00+00:00,2020-04-24T11:06:00-04:00,2020-04-24T08:06:00-07:00,11929.25,11932.25,11924.25,11931.5
